PAR-MAIL,RZS-CSVP
C4,C4
C5,C5
C1,C1
CLELOCALITE,WIXSEDMZMOM
C2,C2
B2,B2
B3,B3
C7,C7
C8,C8
A2,A2
A3,A3
A1,A1
C14,K36
C15,D44
WECRBANQ,MEKYDHUA
WCODE,FZARS
FBANQ-ART,FGMMY-BME
FBANQ-ID,ECZTK-EX
FBANQ-CODE,WBCUK-CHAU
W-FBASE,W-TCNUP
W-FBASEPOST,W-KSBTVPWOS
W-FBASENAT,W-OLEAJBTM
W-FBASECHQ,W-QZYIZBOC
W-FBASEMONT,W-YGXMFJARX
W-FBASECOMT,W-WPLXLJTDG
W-FBASESYNO,W-RUBGKZALN
W-FBASEOPDEV,W-AXVRIDKLNJ
W-FBASEEMET,W-JELMLYTCX
W-FBASEORI,W-WIVZPWZT
W-FBASEORDO,W-OWZXKOZKR
W-FBASETITRE,W-KGPVEEQFMG
W-FBASECT,W-NHPHBNZ
W-FBASEIMPRE3C,W-ZEDOZHLVRY6O
W-FBASEGEST,W-IAFUCMWOK
W-FBASEEMIS,W-KALIKZTZP
W-FBASEPAIE,W-NRMBWLSJJ
W-FBASEDATEREG,W-HHSMLREOXXUA
W-FBASEOPPO,W-OGNOQDXVT
W-FBASEDATOPO,W-VIVCDDKIWQF
W-FBASEDATMAIN,W-LYJJGYCDQJNP
W-FBASEORDRE,W-RXDAKHXBVE
W-FBASEDATEMI,W-BJFDBDIOOBU
W-FBASELIB,W-YSMWATKN
W-FBASECPTA,W-QBYNZWNAY
W-FBASEDATTRSF,W-CMJYOEARJVSD
W-FBASENUMTRSF,W-PBIBOEZUXQOF
W-FBASECODEMARTRF,W-JOYPJCQKVEXPGVM
W-FBASECTDEV,W-BZOZOXFADG
W-FBASEMONTCONV,W-WLXEDCDDTJTWR
W-FBASENOMREDUIT,W-ADYPWNGFIKEHSR
W-FBASEINDCIRCUL,W-HLKTAAYEIYODKP
W-FBASEINDRECONC,W-MVPDRVWXISAXPY
W-FBASEOPBDIC,W-JUFYUFIHSSD
W-FBASECODDEV,W-TPHVRYPWPIY
W-FBASEMONTDEV,W-QQDMZGPWAEYL
W-FBASECODBEN,W-UPKNOZIAZBZ
W-FBASERESBEN,W-PYYYOQOKYHY
W-FBASEOBJET,W-RBPLOPCUZE
W-FBASEMONTPAY,W-KKEHJOOITCZJ
W-FBASEDATEMIS,W-YNCNTKGHULLN
W-FBASEDATPAY,W-PXKPLZGRBBF
W-FBASETXPAY,W-HZUDUUYDBK
W-FBASEDVB,W-IQYOAESF
W-FBASETXEMI,W-RKCOJLBBVU
W-FBASECERTIF,W-ADKLFIKFURH
W-FBASEDATCERT,W-NFNCCLDGTFEG
W-FBASEFRAIS,W-RDYDMFRSGY
W-FBASEDATENREMAR,W-XXKZFEUIKAJQXCR
W-FBASEFLAG,W-UNTIZLUGP
ANC-ART,YWN-ANW
ANC-POSTE1,YGB-XESRA9
ANC-ARTSUIT1,QXC-LKCNWLC8
NOU-ART,AUF-CMN
NOU-POSTE1,TGX-FDJMN4
NOU-ARTSUIT1,SPB-ITORDQL6
WPART,NXZAC
WECREVEN,OZHTJYOH
WEDI-LIB,SCVM-TMC
DER-FPCGL,RCS-AZFEY
FDERPOST,TRRRFKME
FDERDAT,BOBCLYA
FDERAA,BAZYAZ
FDERMM,FILWAU
FDERJJ,KQPCGI
FDERREDAT,IOCMFSUYZ
FDERNOMB,ZBKBJECB
FDERECRITURE,KEFUUYOMDERX
FDERDEBIS,SQLMVFQIK
FDERDEBIT,RMJTVPESW
FDERSPEC1D,ESAUKYRH9F
FDERSPEC2D,PCZVHEZM9U
FDERCREDIS,MDVXHXEFCQ
FDERCREDIT,KPFBFRVAAH
FDERSPEC1C,GECXXPIP5G
FDERSPEC2C,BYZGJUMZ2D
FDERUP,RYAOLH
FDERNAT,FPWXGDY
FDERMONTANT,EAYTJNGEVTT
FDERMONT1,TQAOESCI4
FDERCHEQUE,HNLMXMUYNW
WNBARTCGL,EVITKDPSB
WNBARTECR,VYNOUOBSO
WECRPAR,JZJTNGQ
CHO-PRBM,GRB-BWMM
CHO-CHQ,QDI-TEF
WFINCHQ,DLGVEVW
WDEB,NABR
WDATJOUR,JVCGSBPV
PARM,CJEM
ANC-ART1,PKV-TZE6
ANC-ART01,WXR-SQT70
ANC-ART2,CEO-TFY9
ANC-ART01C,QTI-NHH05F
ANC-DEPT,THZ-FOQA
NOU-DEPT,RAR-MRJH
FL-RNT,DX-INA
PARDEP,FBZBXU
FCMC7E,MTKF8M
FCMC7CODART,NJYQ5EXYEAM
FCMC7NUMLT,VTMY7AEOZZ
FCMC7NUMCHQ,WSXF9ZNLAKC
FCMC7MT,RMFL2UU
FBIDMT,EVZQAG
FCMC7MONTCHQ,EJIC2OVOPMCZ
FCMC7POST,GXAD7PMMY
FCMC7POST1,BTJB7MTDU8
FCMC7DATCPTA,BINV4MQABGVV
FCMC7AA,NUOW8VS
FCMC7MM,XLOO0NH
FCMC7JJ,BQIR4AU
FCMC7MDR,GUQP4SOJ
FCMC7S,YSGC8U
ARTTRAV,FRHITGW
GCVV-POST,FJKP-PTBP
GCVV-NB,AJDC-SQ
GCVV-MT,LSOD-HV
ST-BCT7E,DR-QIT2J
NB,NB
MT,MT
FCRCAE-ART,ZJIZRV-KTX
FCRCAE-POST,ZJFRSF-XICO
FCRCAE-DATEIC,IGAMOY-WDSTCI
FCRCAE-AACHQ,ZUDAKM-NOFZO
FCRCAE-MMCHQ,QDNOYH-NSVJZ
FCRCAE-JJCHQ,OKJURB-DMEKU
FCRCAE-TYPEANO,QAOLST-ZODOUNK
FCRCAE-NUMCHQ,UEAXSD-XRPNWS
FCRCAE-CHQ,QJRVFF-KMH
FCRCAE-CHQ0,LEZULY-SDP7
FCRCAE-CHQ2,YGSHIQ-RIH7
FCRCAE-MONTANT,LOTKPK-YDKESQI
FCRCAE-MONT1,AVNNEG-MASV3
FCRCAE-COMT,QNWKVN-NISZ
FCRCAE-REFOPIC,UVDVKB-OGNMQPQ
FCRCAE-CPTE,KAIIUP-DKMK
FCRCAE-BQ,VLOQOO-DI
FCRCAE-CMC74,GAIYDK-QWV59
FCRCAE-CMC73,FBZBAA-DMD45
FCRCAE-CMC72,XVNXUB-FED67
FCRCAE-BANQUE,SZGHQA-PCCZRS
FCRCAE-ERREUR,KPXILZ-KEVFFF
FCRCAE-ERREUR1,VIPBBU-OVIDZM5
FCRCAE-ERREUR2,FPZVLJ-GKTIWU9
FCRCAE-ERREUR3,IIYXMP-PVMCFW8
FCRCAE-ERREUR4,PEJQRW-OREFHZ8
FCRCA2-ART,DTYXC7-AHP
FCRCA2-DEB,LOCVO4-GRJ
FCRCA2-BQ,NVRDJ5-BF
FCRCA2-CMC74,DHBWQ5-CBE69
FCRCA2-CMC73,AAFEP5-NSF08
FCRCA2-CMC72,WCEMQ5-OKJ95
FCRCA2-BANQUE,TCQSE5-GEHZWW
FCRCA2-ERREUR,BVMSU6-HICXCA
FCRCA2-ERREUR1,UTOVJ6-CVLFTK3
FCRCA2-ERREUR2,JEKHQ0-RMCNFP0
FCRCA2-ERREUR3,ZYZNX3-OOVNOL6
FCRCA2-ERREUR4,VPRSF0-PUYZDY2
FCRCA3-ART,WUUWZ5-NOI
FCRCA3-POST,MHXUV7-TLSI
FCRCA3-FIL1,BOPFI7-MVQ5
FCRCA3-DATEIC,EULTQ6-JVDCOT
FCRCA3-AACHQ,NLHVO4-JYQQF
FCRCA3-MMCHQ,UNZRF7-LYOQR
FCRCA3-JJCHQ,DWPJZ1-HOXAP
FCRCA3-FIL2,TOAKI4-TKJ8
FCRCA3-NUMCHQ,GJDUW6-JYUPTI
FCRCA3-FIL3,UOPYO6-FPE5
FCRCA3-MONTANT,MZWPX0-MMVEWPH
FCRCA3-FIL4,KEXBS7-PRE8
FCRCA3-BQ,ROATC0-LE
FCRCA3-FIL5,XVGPV6-IIF9
FCRCA3-CMC74,KBWCA2-GPR10
FCRCA3-CMC73,RFIZZ8-BYQ06
FCRCA3-CMC72,MBZXA5-YMY13
FCRCA3-FIL6,XAEEO4-LDS9
FCRCA3-BANQUE,UKVYY8-AJDDPJ
FCRCA3-FIL7,AYAKU6-QVJ9
FCRCA3-ERREUR1,VHYEY4-TOHLXF9
FCRCA3-FIL8,CJFBX7-UZH1
FCRCA3-ERREUR2,ORFHR4-DQBMCA4
FCRCA3-FIL9,ACFCH4-LZW0
FCRCA3-ERREUR3,EFPLE5-ERITQV6
FCRCA3-FIL10,CYDHT1-KWZ68
FCRCA3-ERREUR4,WOQLM4-LSIIGM1
FCRCA3-FIL11,FAWON2-HZD06
FCRCA3-POST-BON,CACOT9-QBNP-GSX
FCRCA3-FIL12,CECCY7-QNT25
FCRCA3-NUMCHQ-BON,TIZNI1-YVHTGI-VIA
FCRCA3-FIL13,FWIWM6-SAN20
FCRCA3-MONTANT-BON,SFRMD9-APITRCM-VQF
FREFO-ART,EJJZO-XLX
FREFO-CLE,IDQHG-ZKJ
FREFO-REFOP,UHGRB-CKIFJ
FREFO-FBASECLE,IZWRH-KQMQGDSQ
FREFO-FINCLE,ZGFBL-NDFJBO
CPT-LUS,IXM-VVS
CPT-ECRITS,IMA-JZUMKE
CPT-PEC,XWJ-IQS
CPT-POSTE,HCP-LTXRL
CPT-CHEQUE,TZG-DZIXKX
CPT-MONTANT,WJF-EURARWF
W-MONT,W-RJPE
FCRCA-ART,OVEPF-TDV
FCRCA-POST,ONHKD-EWVS
FCRCA-DATEIC,KSEFB-PRLTXP
FCRCA-AACHQ,ZQRYB-ZHBBI
FCRCA-MMCHQ,XTBRS-RECUV
FCRCA-JJCHQ,DZJVL-HMWLZ
FCRCA-TYPEANO,TZBDC-MSHGLSI
FCRCA-NUMCHQ,GPTJU-NKWQKY
FCRCA-CHQ,BCFVC-YLS
FCRCA-CHQ0,JGZKU-AIO7
FCRCA-CHQ2,ZYIXL-AMS3
FCRCA-MONTANT,XKYKE-PZOXCIH
FCRCA-MONT1,MSVFV-EJQU8
FCRCA-COMT,GVNOW-WMZL
FCRCA-REFOPIC,UCJCT-QLKZTNB
FCRCA-CPTE,ONWLC-HEZR
FCRCAS-ART,KCUGAN-GWP
FCRCAS-DEB,NDBZVJ-YVH
FCRCAS-BQ,VTRYWG-HD
FCRCAS-CMC74,KLBJHU-NFT46
FCRCAS-CMC73,UWUJZX-NKJ85
FCRCAS-CMC72,LBRPUZ-YIB88
FCRCAS-BANQUE,COKUFB-GTAFWT
FCRCAS-ERREUR,SELRMG-XSXTVC
W-GCVBDATE,W-TMZSATWS
W-FTAB-DATE-ID,W-WNCH-DAKN-CV
W-FTAB-DATE-DATE,W-OWCP-SKVX-RORI
FMEN2,VPJA0
FMEN2-POSTE,PMNC8-ERFQR
FMEN2-UP,RLTQ7-VZ
FMEN2-COMPTE,EVOV6-EYFAAW
FMEN2-EMETTEUR,IFKC1-TYEYOMEF
FMEN2-GESTION,WVPU5-SCXZVZX
FMEN2-MONTANT,ADUC2-HUJEUZH
WMONTANT-EDITE,FGSVKDMJ-LIQNX
WNOMBLU,NLWTSPM
WUP,EVG
WEMETTEUR,PQPXSRVPJ
WTABMOIS,PUAVYFMO
WRETABMOIS,RLIKAILXOL
WTABMM,TMVTBG
WRUPTURE,RPRAXJQR
WGEST,ONIBF
WDATTAB,XLKYKQF
WAATAB,HXTIUT
WMMTAB,KYDDIN
WJJTAB,CZWMWV
W-GCVBEICT,W-TCCCRQZK
W-FTAB-EICT-POSTE,W-BUUN-YTNQ-TLVQB
W-FTAB-EICT-SERVICE,W-HBFX-VFYA-DAJVWPL
W-FTAB-EICT-FAX,W-AZZL-ZYFL-ICW
W-FTAB-EICT-PHONE,W-THZT-HYAV-SQKSE
W-FTAB-EICT-MAIL,W-NWUY-XQES-SSJY
W-GCVBEMET,W-QCQBCLDI
W-FTAB-EMET-CODE,W-GXHS-CTNO-PGMJ
W-FTAB-EMET-LIBEL,W-MICQ-SWUQ-AAQXY
W-FTAB-EMET-NAT,W-WOGJ-OCPP-FEN
W-GCVBEMOR,W-UPMKPQOU
W-FTAB-EMET-ORI-EMET-CODE,W-NMCV-RKWG-UHM-EMFU-RCZI
W-FTAB-EMET-ORI-ORIGINE-ID,W-YUCJ-IFEY-TKT-STEIFPR-VR
W-FTAB-EMET-ORI-POSTE,W-CQOX-MPON-CNT-RPULK
W-FTAB-EMET-ORI-EXERCICE,W-ODRO-MXMK-KUC-HPGJSNYQ
W-FTAB-EMET-ORI-IMPUTATION-ID,W-HVBM-NIPM-GVH-YJRUJFAAHS-PZ
GCV-ARTICLE,SEM-BJPPOLI
GCV-SIT1,WTW-LCG6
GCV-CODOP,LMX-BIPSI
GCV-SIT2,IQE-MRP7
GCV-MONTANT,ZTA-LVKLMHM
GCV-MONTANT2,ZAK-KSGBFMX5
GCV-DATEREGL,GLF-MQRBOUVN
GCV-SIT3,UZI-RPO2
GCV-SOUSCODOP,CRO-IUYBTSFXR
GCV-REFOP,FXK-OGHWZ
GCV-BQUEREMET,MFM-JNYIWJXUX
GCV-CMC74,MIZ-POK06
GCV-CMC73,GFM-LMO46
GCV-CMC72,MVP-FXH41
GCV-BQUE1,XRB-PSJQ5
GCV-INDCIRCUL,CAB-PKVRAGAQF
GCV-INDCEPC,AOC-DRHHHRX
GCV-DATEMAR,ZRW-GJTHHBI
GCV-BQUE2,IGM-GZAX5
GCV-DPFCLE,ZTQ-ZGXNCT
WLUKHQFIC,SKKHHXZTQ
WARTPOSTE,ZEXDSFGCJ
ART-ENTREE,VTO-WFEEQP
CHQ-NUMTRAIT,SXH-SZQGMCUZ
CHQ-CODMON,DVP-ZGKQQZ
BIL,THN
SOTBIL,EPUCRG
ROUTBIL,JJIDNNL
LIGBIL,JPUCKP
WROUT,QFUZL
WPOSTROUT,VOKSFUURS
W-DATE10,W-VXQS11
W-AAAA,W-QPTR
W-DATE8,W-MZTE3
W-A,W-G
W-M,W-I
W-J,W-W
TIT1,UVE0
DATT1,QGCL2
HEURT1,ZTJDO1
MINUT1,GZTAH7
TIT2,TMZ0
CENT2,UURP3
TIT5,YWZ7
LIG52,UPV04
LIBCONTROL1,GCKGTLTFBL5
ZCONTROL1,QGIVUILR2
LIBCON,RIJBLR
LIBCON10,NQRHKZ01
LIBCON11,UHLZQK32
LIBCON12,OWCBJB98
LIBCON13,HOELVE27
LIBCON14,SXAXMK17
LIBCON15,HHTCUX93
LIBCON16,KAUDCH02
LIBCON17,YAFXBY87
MONCHEQ,VLIGFEA
W-GCVBIMPU,W-WIZLPKLI
W-FTAB-IMPUTATION-ID,W-TURK-XSCLMZUHKK-SZ
W-FTAB-IMPUTATION-LIBELLE,W-NBRR-AURBNZECBY-CJHLHAU
W-FTAB-IMPUTATION-NATURE,W-XIZI-KLIHMIPUVI-UJFMVE
W-FTAB-IMPUTATION-CPTE47,W-KPSR-MIQRGDUDWE-ZNOH40
W-FTAB-IMPUTATION-TRANS,W-FOXP-XZWQNHLBNI-VDGLY
W-FTAB-IMPUTATION-CODTRANS,W-VQKJ-RBUJMJRFUR-BDIFDBOD
W-FTAB-IMPUTATION-EAT,W-MWOA-OMAFMAEHXQ-XNR
FBASS,QLCIC
FBASECLE0,HNFSSJMF1
FBASECODDEV,ROXEZDIPSEO
FBASEMONTDEV,ZKDFZDHEAUEZ
FBASECODBEN,PHRZSTOZHLB
FBASERESBEN,YMZWTDCMOFU
FBASEOBJET,PGIIMUNXUK
FBASEMONTPAY,PEVDKICEENUW
FBASEDATEMIS,IGDSTLCTINBK
FBASEDATPAY,TQYPIFTETFJ
FBASETXPAY,MYUXKCTWHI
FBASEDVB,XJKGPOOF
FBASETXEMI,QPDMTTBBHZ
FBASECERTIF,XEPUCHSKMWY
FBASEDATCERT,RFGQRBVOHDYE
FBASEFRAIS,ZTRINLABWP
FBASEDATENREMAR,KSEXTGQFHAWEFPP
WFBASEORI,YNFGOXAHE
ARTICNE,OQHMUMA
CLE,YMG
CODIC,EPLLK
AMJ,MHR
CODANO,FSLYVA
ARTSTAT,TTGEQWA
CODICST,RTFTFQL
NBRSTAT,GLVRAGR
TSTFIC,MBONPD
TSTFIS,GXTQHZ
NBR-ARTIC,POL-UXGAZ
NUMCODI,PLNHLNV
PT1,BN8
PT2,DD4
DATE-COUR,YBPN-OLTD
MOIS-COUR,JLPP-RBRZ
JOUR-COUR,NYAG-BPUJ
TABLES,MDDZFT
TAB-CODI,ORI-HOKF
ID-CODI,HY-OOKR
NB-CODI,NF-SURQ
DIFF,MFJV
DIFF-EDIT,BWFL-DVRW
NB-COD80,PF-MRP28
NB-COD85,OX-GYU56
NB-CODXX,WS-MJJTW
FMAG1-ART,AEIH6-NZT
FMAG1-CLE,KJPZ6-GEH
FMAG1-FBASECLE,AJNA5-OWVFBEJQ
FMAG1-REFOP,VYVN3-EWEWG
FMAG1-FINCLE,APTB9-NGFNUV
WECRREFO,PXUVBSWN
WMAG1-ART,FRPE7-QBS
WMAG1-CLE,CCUH6-SXW
WMAG1-FBASECLE,QUBE1-VOBCMIQM
WMAG1-REFOP,BBXX9-FPTVF
WMAG1-FINCLE,HQLY3-CYQAJY
W-GCVBORIG,W-FNSTKMJP
W-FTAB-ORIGINE-POSTE,W-GYKS-MTYYDXU-RBCWQ
W-FTAB-ORIGINE-ORI,W-MBZS-LMZZQWD-TRH
W-FTAB-ORIGINE-ORDO,W-UQTM-UGHFMYG-ITBH
ART-ERTMCHE,OIE-TAOWBJL
E-CODET,Y-MDFCQ
E-UTILCHEQ,B-IADDQPCA
E-DEP,I-PCM
E-DATEMIS,U-BJCYYVD
E-DAAA,M-QCHS
E-DAMM,F-LNVY
E-DAJJ,E-DRIM
E-BUD,I-QHI
E-ORIG,V-WDIU
E-GEST,X-RBMV
E-TIT,I-IGE
E-NUMCHEQ,O-WFREOFV
E-MONCHEQ,K-LALTUBY
E-LIB,C-GFP
E-LIB1,X-PCB3
E-LIB2,I-TFK8
ART-TETPRBMCHE,BGI-EBDABCXVBW
E-APP,J-TLM
E-PRG,A-EPM
E-DATJ,I-TDES
E-DATAA,Q-QVZLM
E-DATMM,Q-YRYTH
E-DATJJ,Y-DSWGO
E-HEUJ,W-EGNH
E-NBCHQ,N-OKOXM
E-MTCHQ,I-MDOFY
ART-ERTMCHT,QWF-CADHGAF
T-CODET,F-HIPQH
T-UTILCHEQ,B-DAOGNLOR
T-DEP,T-VTH
T-DATEMIS,T-EHTPOIW
T-BUD,L-DCI
T-ORIG,Z-WGQT
T-GEST,H-JKEO
T-TIT,D-IQR
T-NUMCHEQ,F-DPGSCAO
T-MONCHEQ,S-WIMYUIN
T-LIB,L-UCB
T-LIB1,P-MJH9
T-LIB2,Z-NDG6
ART-ERTMCHS,MNY-EIAVUWQ
S-CODET,R-DXOGB
S-UTILCHEQ,K-OLPAZEWO
S-DEP,B-TRP
S-DATEMIS,L-DTONIQR
S-BUD,V-RAD
S-ORIG,M-DRVH
S-GEST,M-HMQF
S-TIT,Q-YAF
S-NUMCHEQ,U-IVEDNVI
S-MONCHEQ,K-MYSVBGZ
S-LIB,D-DMC
S-LIB1,S-EAD9
S-LIB2,L-YTB6
ART-TETPRBMCHS,AVC-MVTKXJHBYV
S-APP,B-RXJ
S-PRG,H-HNE
S-DATJ,K-ZVLL
S-DATAA,T-LPVZZ
S-DATMM,A-QXLOE
S-DATJJ,A-PCFUD
S-HEUJ,B-WZHA
S-NBCHQ,V-DGZEI
S-MTCHQ,W-DWSKX
FEDJ,LZDX
F-SAUTJ,I-PLHDF
F-DESTJ,X-BBEAH
F-FEDIJ,F-OUARJ
FL-FI,YK-RF
FL-DEP,OC-ANZ
WTOTMONT,JJJZGPGD
WTOTNBR,AIMZDSH
WHEUJORI,ICQLUSYO
ART-TETPRBMCHT,WBE-XJFOZWMKFP
T-APP,K-ZEL
T-PRG,O-EKL
T-DATJ,V-VSVQ
T-DATAA,R-JHZHI
T-DATMM,H-GVUCH
T-DATJJ,N-WJBOZ
T-HEUJ,U-RRFX
T-HEUJDEB,P-HXEBCFC
T-HEUJLET,T-TDEJSEH
T-NBCHQ,L-EEWFH
T-MTCHQ,B-TCQLX
ART-TETPRBMCHO,LLE-XLEQTKSAPT
O-APP,F-IFH
O-PRG,S-VDC
O-DATJ,O-SJYA
O-DATAA,E-CZXZV
O-DATMM,O-GUKJV
O-DATJJ,C-WGGLR
O-HEUJ,P-QHCD
O-HEUJDEB,X-WOEFLMB
O-HEUJLET,N-JYJZJRC
O-NBCHQ,X-KWVMS
O-MTCHQ,Y-MGAVJ
WTRAIT-APP,UOKMEU-DSC
WAPP,IXZL
WPRG,ZILI
WHEUJ,HTOWT
WNBCHQ,DZPMDX
LMTCHQ,EFUQXV
WORDRE,GAJPHU
WLETTRE,SIZKNYW
WAPPL,VRYXW
WPRGL,WENAF
WDATJL,OKUMMG
WHEUJL,OZSEXJ
WLETTL,AHSDHY
WNBCHQL,YQQTBWA
LMTCHQL,EXHGTGQ
WCODETL,YCBXXEG
WDEPL,YXYAB
WDAJJL,SGISWG
WDAMML,BAFGOR
WDAAAL,DQXNDL
WBUDL,NQJDF
WORIGL,EEANAZ
WGESTL,WUZRXH
WTITL,SHHZU
WNUMCHEQL,TJPURBJWV
WMONCHEQL,QJFBVZAYU
WLIBL,VAXRE
WMESSL,BKCSVX
WLIG9,CNZP1
WCODETB,OWXNMZR
WDEPB,BDRWP
WDAJJB,VOQWNL
WDAMMB,FAMVTV
WDAAAB,CSIVCV
WBUDB,BJAMP
WORIGB,MJSEIM
WGESTB,VZEMIG
WTITB,IGZTA
WNUMCHEQB,TAGLJGJIW
WMONCHEQB,KGDJHIXMP
WLIBB,GMLPI
WMESSB,NHDLWZ
WLIGA,VALKE
WLIGB,BMOLQ
WDATMAC,BANRSHR
WDMACAA,RSEKVOQ
WDMACMM,YADYTVD
WDMACJJ,HHOHALC
ART-PRBMCHE20,EYL-FREYPPI17
E20-CODET,F47-QFCMZ
E20-UTILCHEQ,J10-TFRAOJWU
E20-DEP,Q93-SLO
E20-DATEMISSIEC,P23-YJSKQPVJWMN
E20-DATEMIS,O96-XEGVWNN
E20-BUD,S28-LEG
E20-ORIG,H10-VZSM
E20-GESTSIEC,L94-DTITYAAP
E20-GEST,Z67-BSWO
E20-TIT,R12-GUO
E20-NUMCHEQ,A07-WYDNVPK
E20-MONCHEQ,O04-KSIAAWQ
E20-LIB,Z49-ZWE
ART-TETPRBMCHE20,JSZ-RERQEGBQWD36
E20-APP,I43-ZAY
E20-PRG,F18-CVP
E20-DATJ,I63-GNME
E20-DATAASIEC,S75-PZAKZZWKG
E20-DATAA,J02-DFOSA
E20-DATMM,S47-KPHNB
E20-DATJJ,K32-MYZUM
E20-HEUJ,T69-DFBF
E20-NBCHQ,M06-DLNKD
E20-MTCHQ,K86-LGKDT
PRBMCH-CLE,ELXAXY-HAV
PRBMCH-DEPARTEMENT,NGFFII-MFMRUUAMANB
PRBMCH-APP,KTVHUL-TNY
PRBMCH-PRG,VJIEOK-YMA
PRBMCH-DATJ,TJUNBA-MSQU
PRBMCH-DATMIL,ICAUDC-EGFNFC
PRBMCH-DATEJ,IAPJJR-HVDNR
PRBMCH-HEUJ,NHQVNZ-EMJR
PRBMCH-CODET,XACTKU-GIHOD
PRBMCH-UTILCHEQ,TFGPQY-AGLZCGYU
PRBMCH-DEP,EZYYMK-KIX
PRBMCH-DATEMIS,ZBQNCV-DVYTJJA
PRBMCH-BID,CWBPCK-CCW
PRBMCH-SS,BIZOZG-FN
PRBMCH-AA,UYNCWZ-BS
PRBMCH-MM,PHURDD-IS
PRBMCH-JJ,JUBOOZ-MH
PRBMCH-BUD,ZHFBVW-TES
PRBMCH-ORIG,CJNVTH-VNUG
PRBMCH-ORI,KGVEPM-NPT
PRBMCH-ORDO,WWMRDI-EPOK
PRBMCH-GEST,MQKKTI-QZRR
PRBMCH-TIT,ICRGHO-IPT
PRBMCH-NUMCHQ,GAUTMM-YHGGEN
PRBMCH-MONT,GXGYYD-YSDZ
PRBMCH-LIB,GUWWDB-MXO
ART-KHQ,PEW-RIQ
WAIG-RCODE,AGXK-SEWVG
WMTCHQ,KQJNYP
W-CODMON,W-ESPZKH
W-CLE,W-CIW
W-DEPARTEMENT,W-VWWWUNPYQYP
W-APP,W-ULD
W-PRG,W-GGX
W-DATJ,W-UMHT
W-DATMIL,W-DCPAZJ
W-DATAA,W-PUEAI
W-DATMM,W-FYOTL
W-DATJJ,W-EFHZV
W-HEUJ,W-SGVO
W-CODET,W-DADYO
W-ARTKHQ,W-GOCMCI
KHQ-DEP,HYD-LPT
KHQ-APP,FFD-UVH
KHQ-PRG,EMF-XEU
KHQ-CPT,CAF-KJL
KHQ-DATE,ZRK-XETP
KHQ-AA,YSX-AL
KHQ-MM,CVR-SS
KHQ-JJ,TTT-MU
W-A-CADRER,W-S-YEPUPT
E-DETAIL,F-OFVSPV
ART-ERTMCHF,BFU-CGYLTJO
F-DETAIL,C-HMXGVM
ART-TETPRBMCHF,JRC-ROIFOIHFDT
F-PRG,Z-BDW
S-ART,S-ZCJ
W2FI,Z5AF
WFLE,LDIB
WERR,RJXB
ANC-CODET,WMH-VENZL
NOU-CODET,XRD-XZNRI
W-GCVBREGL,W-OQAWGOGK
W-FTAB-REG-CODE,W-UMLX-NHF-FRCD
W-FTAB-REG-LIBEL,W-ECTT-FTU-XNGVP
GACH-CLE,MHSH-DUQ
GACH-CLEF,GSLN-KEJZ
GACH-POSTE,IUQC-TNLVJ
GACH-CHAINE,DWBA-BJIALP
GACH-DATE,HHCZ-ISEP
E-ART0-RECU,G-KZC6-WXQU
E-F0-CLE,Q-S4-XQO
E-F0-POSTE,D-Z6-TXCIU
E-F0-TYPEMVT,C-J3-GVJNLIO
E-F0-SERV,A-S1-UHDK
E-F0-NCHEQDEB,O-B5-XUBOUDPL
E-F0-NCHEQFIN,J-G6-SKDBPDUN
E-F0-REF-RECU,A-S6-DIQ-TFEO
E-F0-QTE,V-J7-AEL
E-F0-DATE,S-A0-HOGX
E-F0-AA,I-U4-KS
E-F0-MM,X-Y3-GH
E-F0-JJ,G-M8-EQ
E-ART1-REST,W-OZZ5-MWAK
E-F1-CLE,S-U5-ANZ
E-F1-POSTE,N-F1-JYYVY
E-F1-TYPEMVT,I-Q5-OFBHVLL
E-F1-SERV,P-N1-DFCB
E-F1-NCHEQDEB,B-V7-HYDQIRGK
E-F1-NCHEQFIN,W-D3-AZWAYBBD
E-F1-REF-REST,A-Q3-JZL-OFNK
E-F1-QTE,T-O4-BKU
E-ART2-GACH,F-ZYZ5-VVAF
E-F2-CLE,O-M4-LPR
E-F2-POSTE,Q-S2-DDZNZ
E-F2-TYPEMVT,Y-S0-KRDQVRZ
E-F2-SERV,V-P2-CITS
E-F2-NCHEQDEB,U-B9-VWIQYFVJ
E-F2-NCHEQFIN,I-X4-VOFMEHRF
E-F2-REF-GACH,E-J2-CLK-VKGU
E-F2-CHAINE,Q-Q9-LFYEOU
E-F2-APP,G-E7-XYC
E-F2-PRG,T-K8-RHS
E-F2-DATE,D-C8-OZKA
E-F2-HEUR,A-V0-GUSE
E-F2-DATE-DESTRUCTION,N-T6-FPCN-HSVTHNQMQIA
E-F2-AA,K-W2-ZG
E-F2-MM,H-F4-DZ
E-F2-JJ,P-K3-QP
E-ART4-ENVO,X-JZH1-NLHH
E-F4-CLE,D-Z4-HPJ
E-F4-POSTE,H-C1-NQWHK
E-F4-TYPEMVT,K-U4-UICSVVB
E-F4-SERV,M-I3-TYYL
E-F4-NCHEQDEB,K-V3-TKLIAKIU
E-F4-NCHEQFIN,V-O0-WVQFVAFO
E-F4-REF-ENVO,O-J3-MFL-IWEL
E-F4-CHAINE,S-Y1-GVPIKN
E-F4-APP,V-X1-XZA
E-F4-PRG,Y-P0-BUF
